id,query,company,ticker,metric,period,period_type,answer,unit
1,"What was the revenue of Apple in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Revenue,2023,FY,383285000000.0,USD
2,"What was the revenue of Apple in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Revenue,2022,FY,394328000000.0,USD
3,"What was the revenue of Apple in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Revenue,2021,FY,365817000000.0,USD
4,"What was the revenue of Apple in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Revenue,2020,FY,274515000000.0,USD
5,"What was the net income of Apple in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Net Income,2023,FY,96995000000.0,USD
6,"What was the net income of Apple in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Net Income,2022,FY,99803000000.0,USD
7,"What was the net income of Apple in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Net Income,2021,FY,94680000000.0,USD
8,"What was the net income of Apple in 2020 Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Net Income,2021,FY,94680000000.0,USD
9,"What was the total equity of Apple in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Total Equity,2023,FY,62146000000.0,USD
10,"What was the total equity of Apple in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Total Equity,2022,FY,50672000000.0,USD
11,"What was the total equity of Apple in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Total Equity,2021,FY,63090000000.0,USD
12,"What was the total equity of Apple in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Total Equity,2020,FY,65339000000.0,USD
13,"What was the eps (diluted) of Apple in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,EPS (diluted),2023,FY,6.13,USD/shares
14,"What was the eps (diluted) of Apple in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,EPS (diluted),2022,FY,6.11,USD/shares
